Provider Id,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
310041,54.273743016759774,66891.82704189263,11730.549351845448,10426.482889949155
310044,26.61111111111111,171038.75830899292,11932.991581745375,10748.505537776973
310045,34.903002309468825,116778.66817723187,16036.61666468129,14372.046237702418
310047,35.86690647482014,68221.94206952884,10215.656040165473,9125.494967937168
310048,37.94458438287154,93171.75265546815,10245.292226186397,9024.772611711604
310050,45.32934131736527,49311.16559406392,11174.441283844319,9669.882756936073
310051,40.836978131212724,72074.17715643294,14279.990945612324,11236.176977182924
310052,45.07093821510298,79430.01061349316,11521.24160674599,10317.465177075343
310054,36.6173285198556,60499.01964435028,12795.640182458475,10123.779046090396
310057,37.82783018867924,80743.4764910036,11517.82990233491,8997.712492175628
310058,40.75,29979.500917666664,15210.301636624996,14270.156319444448
310060,30.622754491017965,76484.50975896226,9561.359584730539,8037.3727095283
310061,28.485207100591715,75696.60730017243,8237.81071530769,7200.5640782586215
310064,50.25739130434783,94647.77418769823,14493.136669509558,12368.935026017894
310069,27.063636363636363,41998.954415492946,6739.706117990908,5486.693268126759
310070,31.67037037037037,122091.09108748574,13796.476857388894,11991.170589337136
310073,44.21844660194175,108320.86577925661,18587.418069312305,15908.95071049161
310074,28.905172413793103,111370.60645287504,19598.46852404741,17440.68592025625
310075,30.88235294117647,69334.84589755951,14851.90270626667,12578.264588458333
310076,39.97826086956522,90000.44742248527,19659.37849014823,15719.797870011835
310081,36.05263157894737,60183.3063600565,9935.743004259397,8603.400670570622
310083,27.87704918032787,69292.15382594935,11263.405860598363,10589.333205835444
310084,37.37404580152672,68732.20380124995,11534.813421816789,10064.660577897728
310086,58.13502935420744,82697.81052979417,12448.911763217202,10481.824444773523
310091,27.674418604651162,55389.43645402439,6961.200933984496,6065.798984829269
310092,27.71578947368421,213518.98743015755,16449.098983152635,12428.82472131496
310096,32.88461538461539,49644.18714896226,17769.37214163462,16181.93947564151
310108,42.7005076142132,76636.84212581483,14244.50979044669,11998.383792329632
310110,35.21875,88410.31358118015,9861.42678291406,8573.19549985093
310111,39.838509316770185,57493.84381236109,11346.166647040372,10071.002493467586
310112,32.284,82211.60101601227,11005.29229744,9447.707682558279
310113,34.36363636363637,64677.10740039735,10076.416192887446,8448.278182834441
310115,30.990909090909092,80125.40792067567,8728.729351499998,7372.587808216215
310118,20.047619047619047,71414.2193078125,10627.105557428571,7743.3073487500005
310119,24.119205298013245,125080.7175131372,30192.58072516556,24473.00191285295
310130,28.258333333333333,71686.83590112501,9303.497470991666,8201.744686962502
320001,25.963369963369964,44344.70566858694,23514.18242564104,19616.793469744556
320002,30.050420168067227,40131.837779500005,14959.125702521003,13091.472208137498
320003,19.055555555555557,46269.88620043478,9554.457959083335,8250.544403391303
320004,28.33823529411765,43329.589415531904,13634.092062455882,11757.354642425533
320005,33.41353383458647,40908.00360314445,13975.108479402252,12251.947031133332
320006,30.533898305084747,56708.206253417724,9061.906606101697,8078.023047569621
320009,31.45945945945946,76542.36609774565,13653.325438830114,11808.765651670516
