Total Discharges,Total Discharges,Total Discharges,Average Covered Charges,Average Covered Charges,Average Covered Charges,Average Total Payments,Average Total Payments,Average Total Payments,Average Medicare Payments,Average Medicare Payments,Average Medicare Payments,medicare provider number
39.79863481228669,40.717171717171716,41.66420664206642,81683.01894197952,74751.32424242428,89648.26012214023,18541.142116040934,18908.16215488216,21387.566994819183,15621.335358361777,14487.821986531964,15971.021076535053,010033
19.4,20.1,17.285714285714285,10842.412999999999,10454.860000000002,11746.928301142858,6358.023,6228.687,6542.554292928572,5217.2080000000005,5080.339999999999,4962.177174428572,010034
36.088235294117645,38.298507462686565,37.013888888888886,27648.522941176474,28370.66880597015,27929.739966944453,8815.43985294118,8562.26805970149,9077.599182555557,7584.946617647056,7361.708358208954,7860.003501305557,010035
28.38235294117647,25.457142857142856,29.27777777777778,27073.300588235295,28396.61314285714,36141.476041944436,5673.259411764707,5222.252571428571,6073.118502138888,4670.225882352942,4238.064285714287,4973.354917777777,010036
26.18918918918919,23.37142857142857,25.06451612903226,47780.83054054054,46761.93771428571,51802.02513967742,5703.4910810810825,5555.0231428571415,5915.6776131612905,4594.261081081083,4396.008,4732.5733359032265,010038
59.36964980544747,59.625984251968504,58.8714859437751,72887.27894941633,74396.3007480315,74878.94704425702,12928.42369649805,13218.120669291335,13638.376586249005,10844.680038910514,11177.244724409444,11203.944362867465,010039
37.97391304347826,37.06422018348624,41.57142857142857,114315.83799999995,126536.75743119269,131906.5624492857,10199.977565217392,10492.894587155963,9814.43636822619,8661.284173913044,9068.829816513768,8371.767130809525,010040
16.0,19.75,24.0,17015.158,17825.5525,18609.735908000002,5557.028,6598.026250000001,6967.679589199999,4429.7880000000005,5561.558749999999,5890.407725,010044
21.571428571428573,21.0,22.11111111111111,15557.38714285714,18290.52142857143,17590.591466333335,6287.454285714287,7449.909285714285,7019.188947777777,5350.105714285714,6582.999285714285,6074.583105555556,010045
32.851351351351354,37.75806451612903,38.68333333333333,98248.62,50641.36145161292,64278.53732833333,8985.740945945945,6749.677741935484,8187.223614950001,7959.317702702703,5810.214032258064,7101.364417166667,010046
19.285714285714285,15.333333333333334,16.333333333333332,6359.7414285714285,6316.846666666667,6118.3807525,4714.96,4870.308333333333,4870.523354333333,3721.285714285714,3953.6683333333335,3829.0135255000005,010047
26.956521739130434,27.136363636363637,27.136363636363637,42713.607826086954,49897.13045454546,49682.48455681818,5752.5669565217395,6736.078181818182,6335.524826363638,4580.391739130435,5635.486818181817,5175.562312863636,010049
11.0,,,5626.55,,,6125.55,,,4988.09,,,010051
19.9,20.142857142857142,19.285714285714285,6221.956000000001,6368.431428571429,7012.2706689999995,6160.777,6013.071428571428,6226.112755,5366.205,5252.675714285714,5309.9986904285715,010052
32.2,32.54237288135593,32.289256198347104,64728.21199999999,69183.11983050847,82818.57616355373,9321.272869565215,8742.69474576271,10088.159840909088,7867.999130434784,7327.365762711861,8711.886217214878,010055
39.125,39.378787878787875,37.22222222222222,47648.54125,51966.17765151513,55510.92927666664,9798.99786764706,10885.66015151515,11096.867302803419,8176.067132352939,8944.702424242427,9054.663012290597,010056
15.5,19.0,19.5,7751.525,6904.515,6557.8138585,5024.6325,5308.139999999999,5389.785326,4138.12,4376.63,4617.008152,010058
16.88888888888889,17.375,19.714285714285715,16393.35111111111,15739.683750000002,9919.833059714287,7260.286666666666,6508.95625,6182.206895142857,6140.89111111111,5441.90625,5159.224579714285,010059
