medicare provider number,Revenue from sale of medical and surgical supplies to other than patients [other_income_supplies_nonpat],Revenue from sale of drugs to other than patients [other_income_drugs_nonpat],"Tuition (fees, sale of textbooks, uniforms, etc.) [other_income_tuition]","Revenue from gifts, flowers, coffee shops, and canteen [other_income_gifts]",Rental of vending machines [other_income_vending],Governmental appropriations [other_income_govt_approp],Revenues from State and local indigent care programs (2552-96 only) [revs_uncomp_stloc_indig_only96],Revenues related to SCHIP (2552-96 only) [revs_uncomp_schip_only96],"Restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_rstrgrants_only96]","Non-restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_nonrstrgrants_only96]",Charges for patients covered under state or local indigent care program [stloc_indigent_charges],State or local indigent care program cost [stloc_indigent_costs],Stand-alone SCHIP charges [schip_charges],Stand-alone SCHIP cost [schip_costs],"Inpatient days, Medicare skilled nursing facility swing beds [mdcr_snf_swingbed_inpat_days]","Inpatient days, skilled nursing facility swing beds [all_snf_swingbed_inpat_days]","Inpatient days, nursing facility swing beds [all_nf_swingbed_inpat_days]","Inpatient days, other specialty care units [all_oth_spec_care_inpat_days]","Inpatient days, coronary care unit [all_coronary_care_inpat_days]","Inpatient days, burn intensive care unit [all_burn_icu_inpat_days]","Inpatient days, surgical intensive care unit [all_surgical_ic_inpat_days]",Revenue from rental of living quarters [other_income_livingrental],Revenue from laundry and linen service [other_income_laundry],Parking lot receipts [other_income_parking],Rebates and refunds of expenses [other_income_rebates],Nursing and allied health managed care payment [mdcr_ipps_nurs_mgdcare_pymts],Net organ acquisition cost [mdcr_ipps_net_organ_cost],Cost of teaching physicians [mdcr_ipps_teach_phys_cost],Routine service other pass through costs [mdcr_ipps_routine_passthru_cost],medicare provider number
30092,,8661.856592452858,,175103.0,13337.499804750001,,,,,,52488864.0,12692704.0,,,,,,,6566.832999194445,,,1631.9990529000002,,,28450.8299515,28715.995890333335,,,38375.9791955,30092
30093,162940.33059333332,1603.9996361400001,,159665.7441775,10498.49942745,,34634919.89033333,,,,28083243.835500002,6847373.80275,,,,,,,,21.7999970068,,,,,,5105.496918,,,,30093
30094,12697.9892089851,,71576.17350789,,17160.99572283204,,1556539.098885,,2171.99784055,,1887126.036515,369167.081071,,,,,,,,,,4172.749502575,,,104338.48754610667,,,,,30094
30103,5100.000410999999,2429935.319452,912322.29532,,11932.497881,,,,198350.82968016667,,23306622.2685,8865632.860275,,,,,,,,,,919885.7208282353,,,,32129.198476,9440165.814958666,,,30103
30110,4007.49904455,,72503.78237120001,,20155.346157341177,,970618.0988350001,,,,970618.0988350001,274948.79013,,,,,,,,,,,,,111510.22341225001,160.499961735,,,,30110
30114,,,,24081.988516766665,6976.9974026,,456.499842815,,,1958212.5863,14016518.7799,3767351.6164333336,,,,,,,,,,,,,,13483.99542,,,,30114
30115,,,,,,,,,,,,,,,,,,,5116.35646825,,,,,,,39852.998095,,,,30115
30117,,,,1249.99905942,3911.49895809,,,,,,226035.14299875,37261.735259725,,,,,,,,,,,,,,,,,,30117
30119,,764.6664437133335,,278120.28429750004,39278.612281272726,368436.314213,,,8053.246005949999,,,,,,,,,,,,,,,20.999994993,2320.49944675,1651.9992015500002,,,,30119
30121,,4425.99894475,124.9999702,,16813.456281169227,,,,,,27302.242124625,5024.4985353975,,,,,,463.14265729400006,,,,1928.249186375,,6.99999833105,,,,,,30121
30122,,,,,32061.79628428,,,,,,,,,,,,,,,,,,,,,32010.0,,,,30122
30123,2599.9989072000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,323702.93425,30123
30130,,,,41571.85464771429,1669.5711793571427,,,,,,,,,,,,,,,,,,,,,,,,,30130
40004,6722.6832745987795,24758.21641462222,6410.9997396,,192241.62853999998,,,,,,,,,,,,,,3640.5997988000004,,,,64759.76489723077,2676.888730488,,12151.4992455,,,167161.41490425,40004
40007,,1089207.6515297599,62023.57599088665,372077.11128998,50972.812997450004,1199822.71395,,,,,,,1161155.72315,256907.93875,,,,6223.064356209334,5074.164778979167,,4876.069512092858,,,630.4997694074999,1118754.73325,21022.99052888182,,,226276.15234966666,40007
40010,922.8885125455555,11249.997317500001,1038.49904465,341249.02787875,9645.381343625386,,,,,,15040.496413999997,3033.49927675,4222962.013716667,835815.2279716668,,,,265.99993658,,,,158563.1250996582,,,9.4999889067,3335.6651338666666,,,,40010
40016,,,,,,17569569.134835,11399381.282,,,,50822205.219000004,19804173.970333334,,,,,,13322.829366411112,5439.914713804166,,6185.33008762,77.499981523,3655.665202933333,,86938.962674,48834.91688843333,2929136.7734166663,,148474.59876154998,40016
40020,,,,,337528.54307375,53956.34507920001,,,,,,,,,,,,,,,,,,116909.06345471428,,24568.988459453336,,,,40020
