medicare provider number,Revenue from sale of medical and surgical supplies to other than patients [other_income_supplies_nonpat],Revenue from sale of drugs to other than patients [other_income_drugs_nonpat],"Tuition (fees, sale of textbooks, uniforms, etc.) [other_income_tuition]","Revenue from gifts, flowers, coffee shops, and canteen [other_income_gifts]",Rental of vending machines [other_income_vending],Governmental appropriations [other_income_govt_approp],Revenues from State and local indigent care programs (2552-96 only) [revs_uncomp_stloc_indig_only96],Revenues related to SCHIP (2552-96 only) [revs_uncomp_schip_only96],"Restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_rstrgrants_only96]","Non-restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_nonrstrgrants_only96]",Charges for patients covered under state or local indigent care program [stloc_indigent_charges],State or local indigent care program cost [stloc_indigent_costs],Stand-alone SCHIP charges [schip_charges],Stand-alone SCHIP cost [schip_costs],"Inpatient days, Medicare skilled nursing facility swing beds [mdcr_snf_swingbed_inpat_days]","Inpatient days, skilled nursing facility swing beds [all_snf_swingbed_inpat_days]","Inpatient days, nursing facility swing beds [all_nf_swingbed_inpat_days]","Inpatient days, other specialty care units [all_oth_spec_care_inpat_days]","Inpatient days, coronary care unit [all_coronary_care_inpat_days]","Inpatient days, burn intensive care unit [all_burn_icu_inpat_days]","Inpatient days, surgical intensive care unit [all_surgical_ic_inpat_days]",Revenue from rental of living quarters [other_income_livingrental],Revenue from laundry and linen service [other_income_laundry],Parking lot receipts [other_income_parking],Rebates and refunds of expenses [other_income_rebates],Nursing and allied health managed care payment [mdcr_ipps_nurs_mgdcare_pymts],Net organ acquisition cost [mdcr_ipps_net_organ_cost],Cost of teaching physicians [mdcr_ipps_teach_phys_cost],Routine service other pass through costs [mdcr_ipps_routine_passthru_cost],medicare provider number
260179,,,2937.0756064853845,381045.7532618183,,,,,,188011.040814,,,,,,,,,2705.6239603958334,,,,,,,104740.21767999999,,,84801.00996087499,260179
260183,,22225.618531524586,,,,,8583.49795355,4729338.87245,,,6512.99844715,2589.9993825,23470.994403999997,9332.99777485,,,,3439.698667223,,,,,,,,55770.65337038332,,,,260183
260216,,1790690.9221,3491.37454549625,167307.90028483333,15257.498328700001,,,,,,,,,,,,,,,,,,,,,,,,,260216
270003,1931.4992916743402,87596.70883588001,150094.630881,92340.57016219999,11255.996095583332,86065.25514057143,64870.72460275,185095.6906525,7747.9964239500005,,87610.68231359999,44688.26747578571,708980.545119,349097.2261276,133.74995699665,139.7499531378,21.34999083104,213.7499276005,,,,,18917.99145358889,6749.9969553,,1784.9988368966667,,,51483.237725499996,270003
270004,,202408.45174500003,,,,,,788030.6832283334,11078.9973585,,,,2101534.09273375,862862.4613268749,,,,,,,,,,,,41041.149942325,,,1760.49958025,270004
270012,33103.07508886923,1443388.4505017058,2731.555415179444,,19317.4996575,,,,,,,,54256416.0,23929248.0,,,,,,,,,11628.333035466667,,437209.6759872353,111746.11030722222,,,24961.1973972,270012
270014,382025.3717164706,115693.34815921428,66242.87274868126,210701.62715588234,,,,,,,,,,,,,,,,,,,37733.49837325,,16044.141820514285,14294.597209,,,439403.0,270014
270017,302.99995367216667,387557.18004147336,5692.9986426,,,,,,,,,,725743.1488583334,212274.319635,,,,,,,,,,,33160.590632600004,3960.9990556299995,,,,270017
270023,132.62501873387498,292311.93005872215,,113638.9775,821.99980402,,,214706.68326700001,,,,,1329063.2570093332,540882.1054226666,,,,2027.33285,,,,,5484.332025766666,,30425.235180999996,7531.397468280001,,,,270023
270032,,,,,1970.9576677945834,11524.663918966666,19563.13629045714,275843.53197687503,,,22653.636158735295,11974.05254485882,456315.3792402941,230328.6200455882,321.31237580733125,300.16654680115556,84.99996757685295,,,,,,,,25115.07959559091,,,,,270032
270049,1148170.49726,3604552.632866667,,9378.330451,311312.38900965714,,,568689.0566283333,,,,,1649644.4485116669,550840.8738108333,,,,3456.332034966667,,,,3420.9993365,1937845.52055,141078.99137,76336.49863,33403.77202458889,,,140949.15162983336,270049
270051,,,,,,,,,,,,,,,,,,,800.499904575,,,,,,,4947.998314882,,,23863.997155,270051
270057,1656.0,15845.999828999998,,,1389.249910375,,,276966.48981125,,,5672146.063025,3180206.08905,955662.278765,507097.3099807143,,,,,,,,,,,,37415.996446833335,,,,270057
270086,,,,,,,,,,,,,,,,,,,,,,,,,210.499956855,,,,,270086
271318,,,,,2144.99924207975,100436.88044766667,,,,,,,,,423.2629756447368,451.21034454947375,42.10524740299999,,,,,,,,12582.24498,,,,,271318
271335,1100.9998775733334,42887.79686716,,,,,,,,,,,,,1288.5880969482353,1392.940959742353,203.11762212541177,,,,,,,,,,,,,271335
271344,4101.9985230600005,561436.9170664985,,210620.4168184,,23522.991797621427,,,,,16630.6945675,11257.896463238001,115804.0621486,77476.27402190001,783.3996538613334,875.46636198,89.86663170979999,,,,,3888.8869509999995,,,,,,,,271344
280003,8714.8148785,879414.6334698948,4047877.6312885,16115.996157500002,14099.497444358332,,415989.1314501659,0.4999998808,0.4999998808,0.4999998808,4548983.909639411,1919696.7014827058,0.4999998808,,,,,,3681.9989841956526,,,363806.163257,110851.97355018949,,1190846.4116083332,219262.81944649998,89177.8061145,,1199780.3748130433,280003
280009,14019.424681324925,68519.30337195208,,,11560.796058835,,,,,,444532.2218263333,176389.28953133334,,,,,,1205.7268208736364,,18.499995589,,65085.41001865218,5634.24813825,,,10609.663309948333,,,,280009
280013,30749.99266875,113703.194503,1863662.9435364942,18288.789608069997,83864.73684784614,76263.64848466667,1838994.8018059998,,461918.88986666664,,76879254.27948332,25292967.33344722,,,,,,7909.8295249833345,6315.0690621,469.999817045,2539.6659289500003,124190.303722,24973.88901973,,195199.186305,499445.80636604986,6278519.818848751,,1221288.1735030434,280013
280040,,,8500304.847656522,,,,,,,,,,,,,,,,,,,,3477000.0,864992.7326120001,,1266836.8503066667,,,1620325.0057173911,280040
280060,8159.498054600001,2541638.032843333,30932.272160057146,,97016.83345774999,35143.407209085715,,,,,1595173.6281664285,458847.77164857136,,,,,,3241.831804433333,1393.49966775,,,,63791.472211249995,,1639.999609,35163.81076405883,,,35850.155602499995,280060
280130,,,,,,,198154.61942333332,,,,73159.8065303793,20215.221541284995,,,,,,,,,,,,,,,,,,280130
280132,,,3334.2495394625,,3211.6653953333334,5925526.347575,5759.997,,,,148814.62972120004,46363.5833547,,,,,,8.999991311550001,,,,,,,17784.36350123575,,,,,280132
290001,13476.99678666,373634.74019411113,13850.4966975,408244.451242,,,51207834.293,3341486.1870750003,,,51553919.12342203,12650272.507075928,,,,,,4577.284092771429,16557.659521325004,,8830.59665032,,-61900.65190666667,,,37473.399143147646,,,34251.111875875,290001
290003,,24528.491227799997,30242.236047475,11189.59518926,8894.079660420834,,3054572.339304445,457348.82393675,,,27673488.05701,4923237.452398267,5388845.815189167,734024.5310055834,,,,16275.993250227271,5575.569479080002,,5236.798296932,,,,,23232.2780557,824633.6457272143,,13892.4966876,290003
290005,,,33760.49170411667,,5653.7482500099995,,554097.1934467334,,,,949682.3772360767,173059.7846018462,,,,,,643.9997149738,,,,1526.1664935426668,,,80158.992673835,1699.9995679375,,,,290005
290007,2589.6270727312503,3851187.83386,226167.41971045453,,,30829523.412724167,35979142.923030555,821390.15003,5026135.392928888,,87775142.70670553,22950743.145502772,4872964.307235294,1193205.4029211763,,,,17008.535061454157,6026.872815779167,4479.914886658334,5106.706398095833,,,,689031.3423663335,13992.79581161,2696336.9605533336,,4623.11593297706,290007
290009,7720.74981875575,55964.606457222224,102643.49731733334,,5593.270833136364,,1663409.0622025,,11093.997355,,8858984.32290909,2644637.2661909093,746155.79178,157665.94520999998,,,,4652.8252499,2307.7498582,,,,,32923.18403150625,541300.6504887143,20278.39614542,,,,290009
290012,38.4999908205,1160.9994330749998,1074.7494186349998,85356.2352562,2606.7212026438892,129116.17607674998,1079621.7207366663,,60908.5789386,60380.369082200006,5195714.943627273,1019599.9611336362,,,,,,,,,,,,,47784.971080638,2266.6653887,,,,290012
290019,1171.9226781063078,,20392.231891975,,,,,133119.99737333335,,,1595107.0,387236.0,1116690.9942430002,268845.089178,,,,,1159.59994328,,,,,,80596.73895766874,3070.3328624333335,,,,290019
290022,,,4938.54687335,,17512.966034683333,,,,,,6364031.819250001,814529.0774000001,185510.99921728572,18397.2852648,,,,,,,,4857.9978382,,30833.316968033334,12546.994016949999,3403.2498501750006,,,,290022
290032,9152.49607745,23385.0,,,3044.4440556,,,,,,3206951.7226,512132.6678075,146042.0,21686.666666666668,,,,,,,,,,,,12077.495504999999,,,,290032
290039,,,1139.9999037,10072.642474914286,106.499993144,,326752.22688375,34388.999914500004,,,3963033.123975,665284.52902375,1184959.9070758333,137037.995462,,,,2098.249781275,,,,,,,,6231.4994435,,,1423437.1726,290039
290041,,,,,20237.664592866666,,,73.999976255,,,4934200.683499999,624188.7822,790064.8528264872,81294.57130052429,,,,7555.6,,,,,,,,6799.997196100001,,,13698.5,290041
290045,,2464.3985298278,,176679.9275703077,3887.3514957988236,257985.39311825,720185.2842621249,,65928.77354220001,87782.95256939999,5425777.496148501,1021142.448804,,,,,,2660.554639257778,,,,,9643.9909064,,6983.798358620001,3972.7488515500004,,,,290045
290046,,,1774.9991385,,11706.7993236,,,,,,11446456.853,1358272.8739666666,114186.66621,11584.499404249998,,,,,,,2628.79991438,,,,,,,,,290046
290047,,,2889.4989666375,15350.393505095999,5673.664436373334,,221793.5196657875,,,,1798155.1579609094,429364.3717249999,,,,,,1222.3328421724002,,,,,,,,1436.4994862649999,,,106658.46185549999,290047
290049,,,,,,,2569583.0124659995,,,,3912478.620493499,981231.9033971801,,,,,,,,,,,,,,,,,,290049
290053,7328.330298500001,3735.3973590786,,98362.4002208889,2832.1528768607695,124136.17758999999,226057.31434979997,,22692.734985249997,47462.480329,1953078.872047889,427207.19138877775,,,,,,854.2497427925,,,,,,,5760.2482984825,,,,,290053
290054,,,,,5102.498491,,,,,,4188083.0666666664,572564.9662100001,127671.4997575,13799.83328205,,,,795.0,,,,,,,,,,,13187.0,290054
300001,,,,,,,,,,,,,10584600.265333334,3941183.468,,,,,,,,,,,,7341.710700418572,,,519229.23666000005,300001
300003,19236.39114138,361859.60076355713,,655095.5257323,13084.999625583338,1409244.9235750001,,,,,,,,,,,,7700.2457483125,2649.4339080375,,1425.3624628,86264.267445675,1586056.243695,,1200706.354133025,20814.323440113334,1396026.9027220835,,62427.61383925,300003
300005,172770.91761800004,56648.509489284676,55375.241220893746,,20029.133840014285,79795.71195025,833417.602575,,,,6616281.8449875,2722799.701655,,,3255.2274168616673,3584.4984822866663,1500.1659305533333,,,,,11831.326385400002,124937.27409299999,,101481.08310469748,7404.9956225999995,,,,300005
300011,46962.970377,146741.947435,1857264.6328666667,169927.97328666667,,,,,,,10504115.967,4199510.0493,,,,,,,,20.0,,13070.998073499999,45394.495376499995,,,265754.5567468571,,,910632.8870717391,300011
300012,75932.2309302842,989375.6720489998,678284.5777100001,3753.3312079,1591.1328757137333,13653530.740500001,,,,,,,,,,,,,,,,,,,,2267.1646510641335,,,,300012
300014,,14224.684793200004,9379.12104433077,78918.359697,15369.992671,,,,,,,,,,,,,,,,,,7504.7105773,,7248.4965434999995,,,,,300014
300017,2754.698666627,,,4338.864508511334,4470.6289977057895,,29535.122890669998,62345.459655,,,,,183430.30082260002,54580.564624499995,,,,,,,,,,,,2266.6651185,,,,300017
300018,26048.15815764167,18163.108215766668,28653.294854223,76547.66666666667,10294.141993585714,,,,,,,,,,,,,,,,,,,,279566.60986954544,3410.9988485,,,,300018
300019,-1445.99931065,194032.92736211114,44085.64355716666,124573.97029975001,1173.4994404099998,,,,1901.9995465,,,,78687.29168742,30722.812737308326,652.5830300839167,773.9163319613335,276.21039619931577,,,,,,44784.876187143214,,69763.1448145,,,,,300019
300020,13254.49367955,,,518646.9386753846,,855650.4906355056,,,,,,,167644.71863841798,64328.764184452,,,,,,,,,,21777.688397767,,,,,9432.995502149999,300020
300023,,,,119662.14162070001,,,,312972.8475207777,,,13789141.1688,5776586.878985713,375732.53704383335,156835.18037940832,,,,,,,,,,,,11407.99426475,,,,300023
300029,482.499884952075,,,3060.6658917933332,,,,,,,5292735.13735,1859009.598185,114647.4707043,23642.494117789996,,,,,,,,,,,,3399.9973821000003,,,,300029
300034,,162518.2506143077,,,22352.9946705,335623.77783499996,,,,,,,,,,,,,,,,,,,18700.740041825,39799.988589160006,,,,300034
301302,7846.495127970399,30794.53044063636,,45614.14580498333,8694.745307149999,13288.685453450005,,,,,,,,,719.9469934847369,719.9996146294739,298.36827692052634,,,,,,519.4997365988888,,70545.1607264,,,,,301302
301303,13361.730778952631,627100.0149482263,18965.4357331,,10013.784315605264,,,,,,,,,,1402.525645164737,1415.525653109474,291.89460418857897,,,,,,,,80476.95899079998,,,,,301303
301304,,,,14039.159336456665,,,,,,,,,,,1173.175935487059,1188.0582741529413,366.4116266813529,,,,,2.9999989339999997,,,81451.76136092,,,,,301304
301307,5728.570040772857,143908.34484829998,,,20851.19193922,,,,,,,,,,691.9996992762501,691.9996992762501,263.3748993735,,,,,,,,6588.4984292,,,,,301307
301308,,,,,,,,,,,,,,,874.3120661218749,903.3120522962498,409.4373002758125,,,,,,,,,,,,,301308
301311,,,,,,,,,,,394446.8385966667,203476.57651666668,,,249.46655640400002,264.79988290933335,391.5998750827333,,,,,,,,5744.9956499,,,,,301311
310001,13507.4996145,19409.99949852857,1217.5,,,,12739884.6137,,,,112516376.03940001,24303242.928400002,,,,,,9729.955923352174,3488.3041128434784,,,,,,4777.0,24024.05677312353,2139596.020959,,28969.179428727275,310001
310002,6985.997581300001,1118457.8959,24291.0,,63647.4922945,4547989.6383299995,26671362.483999997,,8081092.0,8274348.043833333,67404315.7041125,14088928.9157575,5699716.716899999,1237569.0684966666,,,,15577.694768113044,27839.38821846957,,,120693.22713999999,,432839.1924657143,,28544.0,3795939.081473912,,,310002
310003,,88655.51861921052,,,12896.499815382502,2958329.063,,,,,57316302.02733333,11327789.347933332,,,,,,1.0,,,,,,124666.53669565001,209037.0,,,,262837.40890499996,310003
310005,,5320.141912203572,,149265.2433225,24857.156141789474,1312680.3069221051,1809246.28658,,,,21089721.5124,7550448.9052,,,,,,,,,,64554.991153,,,,56084.82458616667,,,101117.82184608333,310005
310006,45345.9918665,16083.0,,81502.26054773334,5026.3840669,2360143.6367180003,11451568.0,,,,28904792.0,8787414.666666666,,,,,,,1038.9999047400001,,,96949.55220207141,120.0,19319.79738868,6138.333030951333,,,,5301.0,310006
310008,,13730.932751058399,1589432.4664647826,386376.3099067083,10729.554813566667,15770.746682250001,,,,,31225664.0,6663408.0,,,,,,,,,,49.999984783,,234649.2301517391,51191.399452,548101.7888263158,,,1681000.6490782606,310008
310009,,44724.58238451764,17046.139212285714,,21865.589325213634,,5451554.1957,,,,31075749.69978571,5402145.176224285,1106777.563282,195150.34869800002,,,,,,,,,37206.16356493333,335365.32590065215,,43714.397226,,,92801.43502633333,310009
310010,,140741.98607333333,197083.65867666667,133899.30479333331,16754.33008,,664000.0,,,,47702976.0,10178240.0,,,,,,1432.8333030166668,1254.69979024,227.99990368,,,9146.3325842,250042.64954333333,399898.0,2365.749740475,,,103990.475205,310010
310011,,2530.0,490087.26021434786,55400.663394111114,4457.888321077778,,712282.3947157143,,,,15416526.1685,4268121.6428125,,,,,,,,,,36384.215437008694,,,2243.7056621752945,1182.79995719268,,,,310011
310012,,5244.4995063375,5128.908623135454,301693.13954578945,25212.606773,,814026.96027875,,,,18589387.319125,5726412.634925,,,,,,,4971.434299621739,,,31228.997002999997,,,,57400.459609000005,,,65741.5920548,310012
310014,,34859.9976025,,,,2034971.7598333333,,,,6479996.0,,,5956503.44795,1024978.3428,,,,7940.999801673333,5225.695215713043,,,,,,,356827.4991438947,,,512721.6592617391,310014
310015,56.999978261,524.99981271,172908.91780999998,,,3288780.6575,3721621.08495,,8859472.0,8145351.0575,65189610.959,19067990.385333333,25625745.509185713,4860675.264971429,,,,16563.389538908697,2474.2606625086955,108.33333202333334,,,,172908.91780999998,,37132.927485857144,,,92371.9979452,310015
310016,,,1050082.5904100002,,25493.333333333332,9122379.579,11028293.055666668,,,,162568029.95333335,17576560.982666668,,,,,,,2599.2495853,,,436474.80411,,57203.9871576,11300.0,244221.30637825,,,727834.3820131818,310016
310017,,33622.70119232941,,,10770.234009911765,177880.39941779998,274701.3333333333,,,,22549632.0,5533914.666666667,5614669.643825,895349.977055,,,,248.49999620999998,,,,39778.99586183333,,,16211.0,,,,,310017
310019,27891.31167728125,255930.86141555556,10129.997902,723685.0799083334,66772.6042808889,,60520240.0,,,,328957632.0,55296280.0,9249895.065,1547012.5872,,,,16354.275333000001,7460.042613721738,,,1577960.0224666668,16209.748860250002,176996.05141250003,281340.469513174,90053.4945205,,,155305.186096,310019
310021,,6294.49985285,239657.60645655557,,7153.999426450001,199933.79713,6693318.03616,,250000.0,,51339950.33416667,7935589.2046,,,,,,,3493.332811770834,,,,7648.4989833,13172.24930425,201431.155668,300919.18892455,,,628241.9821375,310021
310022,,,1888000.4712,,,29036998.7799,,11270000.0,,,30731297.8465,5477053.805475,90917065.81375,16013532.809899999,,,,6302.368004252632,,,,,,91538.478082,,94162.77429599999,,,341654.5678607692,310022
310024,5441.0,5283.9990996999995,30659.333333333332,,,131045.70724142856,857191.5885,,,2455448.3676799997,27108433.926818177,3944587.5397272725,,,,,,,3101.7388698652176,,2457.1575263631576,108041.840111125,,64292.49011979999,,,,,,310024
310025,,,462636.17794241663,365302.0,8275.635312390908,1977548.6287666669,,,,,57395181.23499999,6809942.919433333,,,,,,,,,,358577.0,,252229.78928753748,1092.9990315,59086.7888356,,,600947.489518,310025
310027,,595260.4724442007,4867502.637165218,75180.86183786666,20026.907931222726,45043665.78444136,18430.998545,,,,8290800.4603,1438520.3836,,,,,,,,,,132693.98339076,,323003.5344923478,193173.89867443478,12277.997303,,,183145.54515571427,310027
310028,,,,,,,265827.69990285713,,2755179.1866871426,,19266500.914125003,3513431.0479375003,41948730.90871429,5006186.696671428,,,,,,,,,,,,3400.0,,,,310028
310029,1329090.0,,659043.95097,27003.993856,17743.299960539127,293927.4548318174,2058299.72055,,548502.69233,,303685834.416,42146002.3232,,,,,,6139.714213857143,4641.415918399999,,,10866.832320166666,,120345.2426576087,931781.9778395802,700826.910785263,3550038.9514674996,,1037029.00237875,310029
310031,60346.0,,,1790.99990815,1933.8330006666665,448815.65205333335,5119420.0,,,,53337696.0,10860832.0,,,,,,,,,,60464.34484069566,,,90743.86689110914,362126.484075,,,,310031
310032,,,10543.4968535,,,13262285.928046668,5689297.386299999,,3299925.7808333333,4039759.2310666665,73804432.357,13144104.422714284,,,,,,,2559.53313962,,2694.599717106667,9519.99863,1672.4998047,1391.99952645,,4149.9990368,,,44104.0,310032
310034,,,36030.999058,49153.0,9957.7994606,,1602165.5671,,1517885.6102749999,,34753412.11316667,6884205.326033334,,,,,,,1051.1426897285714,,3290.8746455,,,90531.49091549999,223932.16242181818,4136.6663884,,,29492.999593250002,310034
310038,,20933.44221338889,480574.98532285716,,15579.543818145454,-50.0,7489956.07305,,,,187795816.30124998,37294085.083625,16493993.556,2982328.4384,,,,7047.129689339129,3671.869270673913,,9164.433673330435,,1649852.0,878578.9568166668,928343.1666405882,67390.869338625,4241233.314515,,153643.33717999997,310038
310039,,,,,,,15160912.0,23064417.413666666,883897.0,,83277824.0,12418480.0,19904350.54183333,2955052.520852222,,,,,2139.1737769434785,,,,,,,179986.984212,,,866441.9403092858,310039
310040,13172.333333333334,6479.199156680001,65614.991781,-22.499992380000002,17187.39216468421,10708669.197433334,2656019.5683399998,,,,77487696.09300001,14120971.5487,,,,,,,,,,,,160523.9154699,28649.333333333332,,,,,310040
310041,,,,,,,2656080.7045,,,,2127799.6786714285,375964.9740714286,911390.96985,165101.49829000002,,,,,10538.332637672222,,3973.9225055999996,,,379961.09777375,,73255.66421233333,,,185972.99205539998,310041
310044,1125.9993525,46124.664725999995,112297.30844666668,269198.62465666665,79157.32191766666,,,,,,114341703.451625,15789335.19175,,,,,,,,,,1252.9996682,357.6666309933333,243473.66301333334,,201413.97144716667,,,775974.1238966667,310044
310045,,32342.72335381818,379205.6489413636,,27427.816158136367,912300.3104374211,780057.5,,1038326.5,,11644317.23835,1389090.98219,,,,,,2499.499843368182,,,,,,308376.890336087,299010.85464525,153190.3541096842,,,501675.2972609091,310045
310047,,14600.536409628616,56846.181354093744,126839.485308,101448.11952799998,-2676710.3333333335,,,,,,,,,,,,,,,,,,21629.331141466668,274650.74467222224,38888.247570625004,,,74996.0,310047
310048,77663.946575,39652.92555730715,,122979.62023088749,,485633.396575,,,,,1652017.9379119999,230916.807498,-102756.26709000004,-10700.971225000001,,,,,,399.0,,,,8188.999866225,409026.6739728571,20322.124042187497,,,73852.71880454545,310048
310050,,,178726.15168533335,,,1711607.2585866668,1667199.20501,,,,38617458.829333335,8982097.978366666,,,,,,6296.823403308695,,,,,,,92.99994782700001,,,,,310050
310051,,,369.4998796,13357.4996522,19086.9967895,1469944.42466,1958074.20658,,,1572942.3625666667,31637440.482200004,8886233.35232,22580582.663,4809519.674371429,,,,2622.2606704173913,2073.9129273826084,,,976243.945205,1009.0,216067.496575,187549.48202,10853.75,,,,310051
310052,,362974.490328575,16236.499400749999,79249.58001895832,77.99999342266666,,3270774.5425,,477454.660275,,27674478.674,5354991.128775001,,,,,,803.333209805,,,,,,,285459.41153687495,7075.999821633333,,,,310052
310054,8496.0,1302.0,723697.10356,45537.71062814286,16334.570211571427,,2774072.61095,,,,14045932.767,4342509.6,1083731.0,193631.0,,,,324.5,2757.749762325,,1866.6666666666667,112066.38904200001,,172263.48419785715,928.99983813,378738.27035562496,,,1157469.664642381,310054
310057,5174.666666666667,,19195.0,318275.0,,5316826.0,,10346736.0,,,44585547.77733333,7587284.2484,33422404.174111113,4956481.123277778,,,,,2813.5998758599994,,,,108407.66666666667,,,55176.7099811,,,33215.124304375,310057
310058,,,107464.52189506666,173118.11840266667,5327.66609804,46319498.28683334,74010826.630125,,58329.140545571434,,141627703.97775,56069997.611,,,,,,,,,,,,,40805.75555266667,15520.993022,,,54452.33287666666,310058
310060,256147.768768,15118.698957069999,28381.0,40550.39623500001,1392.9993685999998,879398.4579477059,1162728.388355,,,,31371697.315,3619955.2794500003,13281.0,1653.0,,,,,,,,,,,37648.42179542856,4464.9985980500005,,,,310060
310061,62993.989726,136.99992709,,642.9998164025001,50603.4485695415,548939.6280054601,2229642.11005,,,,94792398.08616666,14262114.049333334,,,,,,883.7271588890909,2325.5828674,,,102490.96747,186407.955555,,202970.328550275,3400.0,,,31739.986901,310061
310064,,,,10666.554229044443,,,16652359.696285713,,,,260132679.94,48378631.70885714,,,,,,4890.999630014286,3887.999613508333,,,,,187400.70391385714,19351.0,21768.371659149998,,,27206.661257149997,310064
310069,,,,5158.499893,3120.4995184,2080684.1680366667,81918.497605,,,214135.23304750002,4323637.193911111,687105.9777777777,,,,,,,,,,,,,,8060.9972388999995,,,,310069
310070,,309710.0757666667,134351.3788185,571177.7278256667,45538.42576647618,,6979044.64475,,4412712.4252,,133092622.14383332,25723833.592666667,74437534.926,13665654.6795,,,,16555.926226142856,2471.922757515385,,13572.098862379999,99595.36978812501,778875.6400752314,470063.809702,370362.96946416673,4582.9987871,,,,310070
310073,2614.4988549000004,3764724.0442999997,77022.2718916,149872.46263505262,465328.5,,12753381.304000001,,4713329.636533334,,98552627.37533332,18972092.208333332,,,,,,8251.216739873913,7310.651577386956,,,85116.470034,,25702.329794499998,402252.9627507692,84714.3602651579,,,368719.1821925,310073
310074,,547332.0,434588.26565571426,367462.72089,76119.90252181818,13262112.0,61546230.97,,19697457.505,48458848.0,86816306.68266666,16779012.402744446,381411.3182633333,72408.323516,,,,6197.499047525,3242.1245197375,,,360000.0,,652259.6451310527,693101.7657550001,,,,,310074
310075,,2958356.9425,41113.92690037143,189148.996338,1126.79998608,2534396.0602777777,3502921.88495,,,3227103.7123499997,2335166.9213285716,467257.96536142856,2719625.2279399997,531623.133698,,,,6721.3883002777775,1172.99992375,,,216502.4928075,,301718.2680572727,26788.500000375,9073.06220100625,,,,310075
310076,39201.07437687778,110359.74683225,1191164.242741,60576.16269966667,22248.99813981818,2582349.661315667,1106342.4648333334,,,91378.487928,9872654.968770001,2240738.4920510002,3835614.5052,785814.372606,,,,16219.999286583332,4090.695299478261,,17335.814975090907,168588.63401666668,,874597.7956534782,14723.0,16847.817798463635,8433588.247795653,,,310076
310081,,,,60139.234846,,6931352.583550001,3496005.5759000005,,,,58231277.588999994,8736787.601833334,,,,,,,,,,17163.495890500002,,330065.0152294118,108049.66141666665,,,,,310081
310083,,7864.246960500001,,45823.994109600004,15994.211313000002,17218682.433000002,15247005.597799998,,,,59092082.6916,9793711.684379999,,,,,,,,,,435755.0,308890.96438,14503.271765999998,22944.998084,,,,,310083
310084,595.3333311033333,15757.9943495,,,1427.0,7586077.09698,4920955.639928571,6531483.7918,193219.45033999998,2614938.0986166666,1187310.8682985713,209047.10083142857,2235545.6718271426,386182.1893964286,,,,,2298.166380677778,,,,,,30015.5,3399.9985979999997,,,35949.74858725,310084
310086,,10003.921784461538,,3244.249823425,42258.952160869565,,16278219.634,4594883.435620001,346005.750958,,41944322.816925,8116360.141344167,37221329.841076925,6260238.713592308,,,,,292.99987157666664,,,,,439.99979265,56210.996404,70421.320605,,,,310086
310091,13.0,,,50239.66358433333,5690.249485893167,68933.49661275,167641.795959,,,29083696.0,5434372.8695771415,921312.3232085,4168276.1626544446,442381.2666402223,,,,,,,,,,,,,,,,310091
310092,,,,,,,,,,,145485247.8541111,17502217.681666665,,,,,,,2859.49991975,,,,,,,48623.99168566666,,,322764.0039984615,310092
310096,46657.0,605088.9094202083,,9889.855632285715,10696.623753212501,28779033.87242857,30881983.83933333,,,,91608259.18550001,19638802.155333333,,,,,,,,,,189633.93938499998,,285947.8202055,303018.9962115,32937.773818,,,1454.8887830555557,310096
310108,,,3755905.84130875,250497.92055,,331013.90959,,,,,52908244.96536363,11553983.757418184,,,,,,1053.0,11657.60746541739,261.99978195,,,,31150.24884425,,166505.93718142857,,,463015.96900625003,310108
310110,4055.9998373199996,58443.66543863333,,107299.391918,10056.49946922,2915037.7630000003,1877478.31782,,,,24102416.776699997,3039880.72849,152086.66897666667,20725.666977,,,,,,,,,,,,27.0,,,,310110
310111,526430.0,342936.33322986664,,,123710.94555,2624266.0,2132026.0,,,,42763368.0,9798742.0,,,,,,,2039.8749568575,,,,,,6935325.898561819,,,,,310111
310112,2286.9986301,,,,17760.731597406666,,585373.2443242857,7352860.0,,89147.99557242857,11485979.090342859,1904849.3972642857,,,,,,,2424.3331763666665,,,93568.3701095,,4044.7492241,91210.3939042,7548.5,,,,310112
310113,,121277.27485357143,,,408.0,33748.99258,230959.094435125,,,,7810341.5,2062501.61165,,,,,,,,,,,,,90582.390548,,,,,310113
310115,,40368.985274,104132.95377000001,,,,199677.42192,,,,7629278.4219,1741223.1589000002,668689.45037895,103047.99421765,,,,,,,,7472.9961473,,,,3399.9985979999997,,,,310115
310118,37765.0,6933.9961259,466.6666546266667,98992.31897833334,3263.9981056999995,251107.198242,1361399.6712,299967.83425,25276.0,,21865849.78242857,2768802.8019571425,,,,,,,,,,35900.996404000005,,52905.19482786667,8704.9950771,,,,,310118
310119,3821.3990889,2816.2493285349997,6346.664302166667,3042283.639115,45919.51829703439,24870402.398755997,178233216.17166668,,,,290533136.06666666,73745774.41833334,,,,,,10334.730083573335,3745.373618972501,,,989.99976397,,713.499829885,134326.02649001667,7529.596485659999,1470875.1103812503,,1771570.57761525,310119
