Average Estimated Total Submitted Charges,Average Estimated Total Submitted Charges,Average Estimated Total Submitted Charges,Average Medicare Allowed Amount,Average Medicare Allowed Amount,Average Medicare Allowed Amount,Average Medicare Payment Amount,Average Medicare Payment Amount,Average Medicare Payment Amount,Outlier Comprehensive APC Services,Outlier Comprehensive APC Services,Outlier Comprehensive APC Services,Average Medicare Outlier Amount,Average Medicare Outlier Amount,Average Medicare Outlier Amount,medicare provider number
55190.20069448867,49477.6155275982,33573.28398101188,11465.761897319888,9624.722618605774,6493.388983037632,10321.822066913268,8551.175246371236,5693.9597540732675,3.0,0.0,1.2,441.49167397129094,0.0,49.992830740740665,100088
41012.39834798181,35508.138782769456,24003.09568985807,11844.7329375763,9369.903412746906,5473.224092624852,10743.836247761485,8310.991521135487,4719.581392509566,0.0,0.0,0.0,0.0,0.0,0.0,100090
101796.71044600784,92313.92525881996,66868.7962564652,11000.044343981484,7534.785841133422,4831.963855812113,9956.86874675926,6559.580321479202,4139.243477353692,0.0,3.909090909090909,1.9411764705882353,0.0,219.18473309090908,210.7798892156859,100092
58584.90376246889,51369.29051951958,35291.180804864154,10876.07303000904,8199.680920949017,5107.037207425138,9725.663086841703,7154.62313152297,4368.591461913754,0.0,0.0,0.0,0.0,0.0,0.0,100093
126999.20445054915,36846.85236518235,39388.41166099395,10208.099010989004,2744.26830618892,2583.12021858281,8948.099010989004,2184.58211726384,2052.515887707729,0.0,0.0,0.0,0.0,0.0,0.0,100099
,22608.4064940022,20633.946190216877,,2956.8024045801503,2399.715214067275,,2353.918053435115,1908.796993501525,,0.0,0.0,,0.0,0.0,100102
30680.690528501415,27381.795491166202,25609.107077240362,10462.52129888135,8782.812025338844,4976.2453099842305,9318.7969854515,7752.803769383477,4233.649914803971,6.0,5.8,26.166666666666668,307.56900740740736,337.6294398076922,1633.4445457944423,100105
,11046.415602632653,7749.376638876713,,3288.4341055806894,2461.28975509623,,2572.0229944695734,1949.8018666544706,,0.0,0.0,,0.0,0.0,100106
27470.3508333333,37990.6944322744,22507.8947619046,6207.56,4408.52488499452,2133.67,4947.56,3515.78579408543,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,100107
73095.94200043297,55900.953505756144,32515.272539969817,10357.877911810163,7910.352611876713,4133.253142385763,9278.080063975016,6924.686523041788,3499.3207786749335,4.6,5.0,1.1764705882352942,586.1733839393926,255.68258273657187,73.65305294117647,100109
66146.93904417282,47759.324250206635,40542.88138815035,9600.4993224084,7762.235352466955,5300.0670052824225,8524.492712130683,6725.263366568727,4535.272156825543,10.8,3.125,3.2941176470588234,488.3003940803375,90.687877,147.95411372549,10011
74300.56895672643,72019.55038130734,63891.4936125572,11834.319184209553,8653.791992078177,6479.704291649762,10635.846504785575,7619.277887409837,5640.884431141779,0.0,0.0,0.0,0.0,0.0,0.0,100110
53072.93462063287,45932.35188208922,35492.602155580746,12079.781537198756,9160.00494827062,6655.204507753654,10933.496668113961,8083.200883624089,5825.829013690957,8.545454545454545,28.428571428571427,10.807692307692308,526.3729137420345,976.3602424882749,900.9863480368242,100113
26310.1,25510.050902670744,19562.589670122772,3584.7320833333297,3836.096913043713,2810.0855710616474,2658.06208333333,3031.782086095981,2216.427769528959,,0.0,0.0,,0.0,0.0,100117
57757.76936055465,32170.703391742525,24714.08074765552,10877.85,5090.824348150288,3596.538633820424,9617.85,4167.57621047655,2963.6500648812103,0.0,0.0,0.0,0.0,0.0,0.0,100118
139863.8513764705,62399.19304541893,35022.55524658493,8237.469370588235,4917.40832670565,3106.5476946540334,6971.6758411764695,4023.1367851851837,2499.879919229944,12.0,0.0,0.0,3456.7923833333302,0.0,0.0,10012
,20195.0662135922,25430.492945561535,,1904.17786407767,2091.141080292875,,1511.06786407767,1613.0886752295849,,0.0,0.0,,0.0,0.0,100121
83005.58504567562,81436.48027290938,61508.19511886771,7540.932994072046,5943.605968820189,3433.5420087843527,6438.052185043306,4951.934707410854,2810.597596240066,0.0,0.0,0.0,0.0,0.0,0.0,100122
76433.04721134083,59616.60832464723,38609.08750100879,9727.7491392857,5392.648234209175,2773.846278729648,8558.83064642855,4477.89964115849,2210.0252236557944,0.0,2.0,0.0,0.0,188.96605,0.0,100124
,30958.4935363247,27801.734932643165,,2877.868716422455,2380.3714962332697,,2273.14011294262,1889.6860108645421,,47.0,9.666666666666666,,1370.3533914893599,558.9835517241366,100125
,52776.066087954874,42007.9524412124,,2931.3615976331334,2375.902995081928,,2334.8385404339238,1896.322303497146,,0.0,0.0,,0.0,0.0,100126
64560.92058913255,55882.65494196172,39563.50454687568,11902.869705021672,9800.620420564104,5965.585797988708,10725.644215605804,8697.914134383449,5159.069212945975,0.0,1.0,0.6,0.0,51.609229752066085,53.7458917333332,100127
70252.28705438606,65435.62209747075,48379.49785264341,12128.91068887857,10312.674597620095,6161.91011771309,10996.657141560852,9237.39708976232,5370.057304488874,3.1818181818181817,6.842105263157895,7.695652173913044,215.31571277813063,428.8124001442132,722.9365933368911,100128
,9865.72380681812,10806.1796464645,,2097.26738636363,2121.88237373736,,1667.43982954545,1684.86999999999,,0.0,,,0.0,,100130
76719.75025110769,55202.56651190201,43798.33517856012,13660.788,6785.493391869287,4196.098758151307,12400.788,5719.601581260105,3502.7289016631,0.0,0.0,0.0,0.0,0.0,0.0,100131
50894.0078623188,34140.09226992005,22680.63581044927,8507.676666666666,4300.221119567024,2912.7830462293423,7247.676666666665,3530.009838239928,2327.709928192158,0.0,0.0,0.0,0.0,0.0,0.0,100132
,11802.1852777777,9262.794755244739,,1973.62388888888,1743.9925174825166,,1563.3975,1371.9029705710943,,,0.0,,,0.0,100134
61497.55375924161,51145.362480380856,33720.08845120006,10358.13611194074,7868.48664818955,5228.200982245709,9209.15209528552,6859.490265421445,4499.943799118874,11.666666666666666,5.0,1.56,186.51518666666664,109.259111111111,100.6802547692304,100135
79439.11323218198,91268.98631598247,64630.65775200157,7520.152031060223,7754.781398845994,5105.414673569477,6410.235862031883,6791.131981457062,4382.734705847277,0.0,0.0,0.0,0.0,0.0,0.0,100137
27719.746875,18192.19817865924,16939.19278727787,7865.45375,3298.0602633721055,2861.2877520326906,6605.45375,2622.022028077986,2279.058731495518,0.0,0.0,0.0,0.0,0.0,0.0,100140
,8571.08118921944,7261.525447263235,,3379.1492705542933,2359.3434758494514,,2663.18614259221,1863.5714494822632,,0.0,0.0,,0.0,0.0,100142
,50370.1115228644,30119.285374211133,,3597.4112100948996,2394.0607395273214,,2846.57421052631,1901.7852148462769,,,0.0,,,0.0,100150
38785.566578977465,35954.41515873289,24113.42420524857,9642.02745451068,8554.014136712734,5534.161222511518,8506.071347894984,7467.119493293227,4748.0738964691245,3.3,4.866666666666666,2.0,156.0511018181818,267.66848731443986,116.4218382352941,100151
